Nama Restoran,Nama,Pengguna Gojek Sejak,Rating,Ulasan,Produk yang Dibeli,Tanggal Beli,Waktu Scraping
"McDonald's, Mulyosari Surabaya",N***,24 Maret 2018,3.0,jagung manisnya gak ada di dalam kirimannya..,PROMO - 3 Ayam Krispy McD + 3 reg. Rice - Fanta Float - Sweet Corn with Crunchy Bubble,8 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",S***** H***,13 Oktober 2016,3.0,"Ayamnya kulit lepas semua, kayak buru-buru masaknya. Kentang sudah g fresh, harusnya disiapin terakhir",PROMO - 3 Ayam Spicy McD + 3 reg. Rice - PROMO - 3 Ayam Krispy McD + 3 reg. Rice - Cheeseburger Meal Large,7 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",E**,5 Mei 2017,5.0,promo tolong ditambahkan discnya ya Pak MCD,PaMer 7 Krispy - McFlurry Feat. Oreo - Strawberry Sundae,7 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",H*** S*******,19 November 2020,5.0,"mbak kasirnya cantik 
kyk es teller 😁😁😁",PaNas 2 with Fries Medium,27 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",H*** S*******,19 November 2020,5.0,"Terima kasih , Makanannya enak banget",Paket Berdua B,30 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M****** S*****,7 September 2015,3.0,"My burger has no ketchup 🥲, I didn’t receive any sauce for my mcnuggets 🥲",Double Cheese Burger - Double Cheeseburger Meal Large - McNuggets  9pcs - Apple Pie,4 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R***,18 Mei 2019,5.0,favorit banget kalo lagi laper donkk,PaNas 2 Spicy Large - Rica Rica Chicken Rice McD - Spicy Chicken Bites,1 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L*** G*****,12 Januari 2021,5.0,mcd mahh selalu enak😭😭😭,PaNas Spesial Spicy Medium,4 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",P******,28 Juli 2017,5.0,"Enak banget , apalagi kalau sambalnya dibanyakin  lagi , makasih",PaMer 7 Krispy - Apple Pie,4 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",T**** T**,3 Agustus 2017,5.0,I’m loviiiiiin it,PaNas 2 Medium - McNuggets Meal Large - Chicken Burger,25 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",T**** R****,27 Desember 2017,5.0,please give a free spunbond bag 😞,Big Mac Meal Large - French Fries Large - 1pc Krispy Chicken,3 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",Y****** D****,1 November 2016,2.0,Saya beli panas spesial 2 kok ga di kasih nasi sementara bayarnya juga seharga kalau pakai nasi???,PaNas Spesial Medium,2 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",S***,20 Desember 2017,5.0,history pemesanan gofood ku mcd lumayan sering hahaha,PaNas 2 Spicy Medium - Fish Fillet Burger - Iced Coffee Jelly,13 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",S***,20 Desember 2017,5.0,mcd oh mcd kenapa sauce tartar mu enak:(,Iced Coffee Jelly - PaNas Spesial Large - PaNas 2 Spicy Medium,29 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",E***,2 Mei 2016,1.0,"ayamnya udah dipanasin berapa kali nih? item gini kering, rasanya beda gakayak mcd biasanya, look like kfc",1pc Krispy Chicken,1 Agustus 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I***********,4 Juni 2017,5.0,"enak, masih yang terbaik",Cheeseburger with Egg Large,2 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",A*** M****** A*******,31 Desember 2017,5.0,sep joss sesuai,1pc Krispy Chicken,31 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",B***,14 Januari 2020,5.0,kalau  McD itu dari segi klwalitas kwantitas rasa kebersihan rasa kemasan tidak diragukan LG insya Allah bersih orang2 pegawai nya ramah ramah🙏👍🤗,Promo PaMer 5 Mix ALC + 3 Tehbotol Kotak,30 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M*******,2 November 2015,4.0,"tolong dikasih kabel tiss spy higienis diera pandemi spt ini, spy cust tdk kuatir saat beli mcd",1pc Krispy Chicken - Beef Burger - Coke Float,2 Juni 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I*** M****,28 April 2018,5.0,"Gofood terus mantap, enak sekali👍👍👍👍👍",McD Chicken Porridge - PaNas Spesial Medium,25 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I***,12 Januari 2017,1.0,Pesen dada ayam dikasih paha bawah,1pc Krispy Chicken - Breakfast Wrap,22 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",C******** B*******,6 Februari 2018,5.0,diberkati selalu ya,PaMer 5 Mix,21 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",V*** A*****,26 November 2020,5.0,"sy suka sama burgernya uuenak...
tp french freshny kurang enak kering2 kecil2 kyk sisa2","Paket Beef Yakiniku Tamago Burger, Medium with French Fries",17 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",F*****,8 Juli 2015,1.0,"Tidak sesuai request, rasanya juga hambar seperti kurang bumbu",PaMer 5 Krispy,13 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",H***** G****** S,26 Desember 2016,4.0,Kalau belinya paket di periksa lagi jgn sampai ketinggalan sesuatu,McSpicy Yakiniku Burger  Medium,11 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",K****,16 Agustus 2015,1.0,"Tidak sesuai pesanan, pesannya dada tulang muda dan ekstra saus sambal, sama sekali tidak sesuai",1pc Krispy Chicken,12 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R*****,8 Maret 2019,3.0,nasinya ketinggalan 💀,PaNas Spesial Medium,12 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",W*****,19 Januari 2015,1.0,Order spicy tapi dikasih yang tidak spicy,PaNas 2 Spicy with Fries Large - 1pc Spicy Chicken,11 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",M*****,19 Maret 2021,5.0,cuma kurang orang gojek. sembarangan bawa tanpa hati2.,Chicken Muffin ALC + Sausage Muffin ALC - PaNas 1 Large - Paket Nasi Uduk McD Ayam Suwir - McD Chicken Porridge - Hot Coffee,10 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",D****,7 Februari 2021,2.0,"bagian bawah gelas minumannya bolong, minumnya tumpah semua ga tersisa dan kena ke makanan yg lain. utk pesanan kali ini lumayan bikin kecewa",McSpicy Meal Large - PaNas 2 Spicy Large,9 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",F**** N***** F****,20 Juni 2017,5.0,PLISS TELOR MCD GA ADA TANDINGANNYA WKWKWKSK BANYAKIN TELORNYAA 😭trimski chef <3,PaNas Spesial Spicy Medium - PaNas Spesial Medium - Happy Meal Chicken McD Breakfast - Milo Medium - McFlurry Feat. Oreo - Choco Sundae,9 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",P****,24 September 2016,5.0,"ok banget ,, recomended pokoknya hehe",Matcha McFlurry with Matcha Cookies - Choco Sundae - Strawberry Sundae - McFlurry Feat. Oreo,9 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",I*** S*******,21 September 2016,5.0,pokoke selalu maknyus deh... mantul👍,PaNas Spesial Spicy Large - French Fries Large - 2x Nasi Uduk McD ALC - BOBA Iced Coffee Float + BOBA Chocolate Float,9 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",R****,19 Oktober 2016,5.0,semoga ke depannya lbh baik lg jaga kesehatan guys,Beef Burger - Chicken Snack Wrap - PaMer 5 Spicy,7 Juli 2021,2025-07-11 22:20:01
"McDonald's, Mulyosari Surabaya",L***,4 Desember 2015,1.0,"Fish fillet burger saya ada seperti taburan pasir diatas bun nya, seperti habis jatuh, mau saya tambahkan foto tidak bisa",Chicken Fingers - Fish Fillet Burger,3 Juli 2021,2025-07-11 22:20:01
