Nama Restoran,Rating,Jarak,Tingkat Harga,Detail Harga,Tipe Masakan,Alamat,Jam Buka (Senin),Jam Buka (Selasa),Jam Buka (Rabu),Jam Buka (Kamis),Jam Buka (Jumat),Jam Buka (Sabtu),Jam Buka (Minggu),Link,Waktu Scraping
"Dapur Cokelat, Jemursari",4.9,5.95 km,$$$$,Diatas 100rb,"Roti, Sweets, Minuman","Jl. Jemursari Raya No. 317, Wonocolo, Surabaya",07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,https://gofood.co.id/surabaya/restaurant/dapur-cokelat-jemursari-e8170509-efa5-4f33-85c4-728ddec282ee,2025-07-11 07:42:56
"Mie Hakka, Mulyorejo",4.2,2.9 km,$$$·,40rb-100rb,Bakmie,"Jl. Kalijudan Asri No. 4, Mulyorejo, Surabaya",07:00-14:00 & 16:30-20:00,07:00-14:00 & 16:30-20:00,07:00-14:00 & 16:30-20:00,07:00-14:00 & 16:30-20:00,07:00-14:00 & 16:30-20:00,07:00-14:00 & 16:30-20:00,16:00-21:00,https://gofood.co.id/surabaya/restaurant/mie-hakka-mulyorejo-55b1341e-5423-4111-b3a4-9ce31cd083c1,2025-07-11 07:43:05
"Roti MOX, Ngagel Rejo",4.8,4.4 km,$$$$,Diatas 100rb,Roti,"Jl. Ngagel Rejo Kidul No. 4B, Wonokromo, Surabaya",07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,07:00-20:30,https://gofood.co.id/surabaya/restaurant/roti-mox-ngagel-rejo-5c2e2a2d-6bc8-4764-8f39-1b6845772b5c,2025-07-11 07:43:21
"Nasi Goreng Darurat, Ngagel",4.2,4.36 km,$$··,16rb-40rb,"Aneka nasi, Nasi Goreng","Jl. Ngagel Rejo Kidul No. 7, Wonokromo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/nasi-goreng-darurat-ngagel-76b86c97-24cd-46d1-8dd9-a94d4da95a62,2025-07-11 07:43:20
"Kebab Turki Baba Rafi, Indomart Merr",5,7.42 km,$$··,16rb-40rb,"Barat, Jajanan","Jl. Dr. Ir. H. Soekarno No.401 C, Kedung Baruk, Kec. Rungkut, Surabaya, Jawa Timur 60119",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kebab-turki-baba-rafi-indomart-merr-890c018c-d89d-43b6-9039-99c55351ee7a,2025-07-11 07:45:44
"Depot Nasi Campur Mix Max, Karang Asem",4.9,2.49 km,$$··,16rb-40rb,"Aneka nasi, Minuman, Cepat saji",Jl.Gemini No.8 sby (bebas parkir),06:30-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,06:00-19:00,https://gofood.co.id/surabaya/restaurant/depot-nasi-campur-mix-max-karang-asem-b911b1c3-1018-4b13-95c7-ea0d6fcfb9f7,2025-07-11 07:43:41
"McDonald's, Plaza Surabaya",4.7,0.93 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Plaza Surabaya, Lantai 1, Jl. Pemuda No. 31-37, Genteng, Surabaya",06:00-23:59,06:00-23:59,06:00-23:59,06:00-23:59,06:00-23:59,06:00-23:59,06:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-plaza-surabaya-e099898f-fddd-4704-8318-02aba5311617,2025-07-11 07:43:42
"Lumpia Ong, Mulyosari 1",5,5.41 km,$···,Dibawah 16rb,"Jajanan, Roti, Cepat saji","Jl. Mulyosari 1 No. 106, Mulyorejo, Surabaya",Tutup,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,06:00-15:00,https://gofood.co.id/surabaya/restaurant/lumpia-ong-mulyosari-1-23eaada8-f8b3-4c18-8801-d6514fcbeb65,2025-07-11 07:46:13
"McDonald's, Mulyosari Surabaya",4.7,5.01 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Ruko Central Park, Jl. Mulyosari Raya, Mulyorejo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-mulyosari-surabaya-ca43fc5b-5916-4d9b-9a90-a900389fc2a8,2025-07-11 07:41:57
"Cakue Jember, Ruko Parkway",4.7,5.9 km,$$··,16rb-40rb,"Bakso & soto, Jajanan, Bakmie","Ruko Parkway 96, Mulyorejo, Surabaya",07:30-17:30,07:30-17:30,07:30-17:30,07:30-17:30,07:30-17:30,07:30-17:30,07:30-17:30,https://gofood.co.id/surabaya/restaurant/cakue-jember-ruko-parkway-f982ea0f-6931-4f69-8d54-27bed4d2756a,2025-07-11 07:46:48
"Depot Grace, Karang Empat",4.8,2.29 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Karang Empat Besar No. 85, Tambaksari, Surabaya",07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/depot-grace-karang-empat-4519dd44-fa11-44e4-932c-c660fdae82f7,2025-07-11 07:46:29
"Burger King (Burger dan Ayam), Jemursari",4.8,6.18 km,$$$·,40rb-100rb,"Cepat saji, Aneka nasi, Jajanan, Ayam & bebek","Jl. Jemursari No. 260, Tenggilis Mejoyo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/burger-king-burger-dan-ayam-jemursari-a3b7fcc0-a4b8-4943-b962-e37c9e8b4104,2025-07-11 07:43:52
"Lontong Kupang & Nasi Goreng Cak Jo, Kalijudan",4.4,4.07 km,$···,Dibawah 16rb,"Aneka nasi, Nasi Goreng","Jl. Kalijudan 12 No. 55C, Mulyorejo, Surabaya",06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,Tutup,https://gofood.co.id/surabaya/restaurant/lontong-kupang-nasi-goreng-cak-jo-kalijudan-2b0ccce1-e1e4-48c8-bffd-6380f3752f06,2025-07-11 07:47:15
"Depot Bu Ima, Karang Empat Besar",4.7,2.12 km,$$··,16rb-40rb,Aneka nasi,"Jl. Karang Empat Besar No. 37, Tambaksari, Surabaya",05:00-17:00,05:00-17:00,05:00-17:00,05:00-17:00,05:00-17:00,05:00-17:00,05:00-17:00,https://gofood.co.id/surabaya/restaurant/depot-bu-ima-karang-empat-besar-1a408671-5db9-4924-8e9f-7e777448b988,2025-07-11 07:47:18
"Bakwan Subur Malang, Ruko San Antonio",4.6,5.93 km,$···,Dibawah 16rb,Bakso & soto,"Ruko San Antonio N1 No. 61, Pakuwon City, Jl. Kalisari Utara 1, Mulyorejo, Surabaya",07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,https://gofood.co.id/surabaya/restaurant/bakwan-subur-malang-ruko-san-antonio-4448fdb2-1715-4ab8-973f-61f94f3f09a7,2025-07-11 07:47:43
"Ayam Bakar Primarasa, Kusuma Bangsa",4.9,0.31 km,$$$·,40rb-100rb,Ayam & bebek,"Jl. Kusuma Bangsa No. 3A, Tambaksari, Surabaya",07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,07:00-21:45,https://gofood.co.id/surabaya/restaurant/ayam-bakar-primarasa-kusuma-bangsa-a065b42f-ec82-44c1-82a8-2b0fcf91d348,2025-07-11 07:47:05
Golden Yen,4.9,4.51 km,$$$·,40rb-100rb,"Aneka nasi, Bakmie, Chinese","Jl. Babatan Pantai No. 23, Kenjeran, Surabaya",06:30-15:00,06:30-15:00,06:30-15:00,06:30-15:00,06:30-15:00,06:30-15:00,06:30-15:00,https://gofood.co.id/surabaya/restaurant/golden-yen-73ea8297-e009-43db-a296-d7336c1c7b02,2025-07-11 07:48:04
XinXin Cincau,4.6,1.93 km,$···,Dibawah 16rb,Minuman,"Jl. Putro Agung 2 No. 33A, Tambaksari, Surabaya",07:00-17:00,07:00-17:00,07:00-19:00,07:00-17:00,07:00-17:00,07:00-17:00,Tutup,https://gofood.co.id/surabaya/restaurant/xinxin-cincau-dfb1a3c4-4b75-4529-9960-07513eebb2c3,2025-07-11 07:48:27
"KFC, Raya Darmo",4.8,3.82 km,$$··,16rb-40rb,Cepat saji,"Jl. Darmo Raya No. 101, Tegalsari, Surabaya",00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,00:00-23:30,https://gofood.co.id/surabaya/restaurant/kfc-raya-darmo-a8615bde-a458-4103-88c0-b788f3e33f63,2025-07-11 07:47:40
"Rome 21 Kue Dan Jajan, Dr. Wahidin",4.7,3.12 km,$···,Dibawah 16rb,Jajanan,"Jl. Dr Wahidin No. 21, Tegalsari, Surabaya",06:00-16:00,06:00-16:00,06:00-16:00,06:00-16:00,06:00-16:00,06:00-16:00,06:00-16:00,https://gofood.co.id/surabaya/restaurant/rome-21-kue-dan-jajan-dr-wahidin-09473992-1ba5-4244-aa03-b54f8f7a7785,2025-07-11 07:48:39
"Medan Wei ""Kuliner Khas Medan"", Pakuwon City",4.8,5.97 km,$$$·,40rb-100rb,Aneka nasi,"Pakuwon City, Ruko San Antonio, Blok N1 No. 79, Mulyorejo, Surabaya",08:00-20:45,06:00-20:45,06:00-20:45,06:00-20:45,06:00-20:45,06:00-20:45,06:00-20:45,https://gofood.co.id/surabaya/restaurant/medan-wei-kuliner-khas-medan-pakuwon-city-0d54a84c-3765-4a1e-9347-bcc5349d93b1,2025-07-11 07:48:10
"Nyah Cen, Sukolilo Kasih",4.9,7.48 km,$$··,16rb-40rb,"Aneka nasi, Cepat saji, Ayam & bebek","Jl. keputih Permata, Komplek Pertokoan Diamond Blok A21",Tutup,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,https://gofood.co.id/surabaya/restaurant/nyah-cen-sukolilo-kasih-98ef2478-8301-42ec-baf9-108f8b521374,2025-07-11 07:48:53
"Depot Lezat (Ex. Kapas Krampung), Ketabang",5,2.11 km,$$$·,40rb-100rb,"Aneka nasi, Minuman, Sweets","Jl. Jaksa Agung Suprapto No 49, Ketabang, Genteng",05:30-16:00,05:30-16:00,05:30-16:00,05:30-16:00,05:30-16:00,05:30-16:00,05:30-16:00,https://gofood.co.id/surabaya/restaurant/depot-lezat-ex-kapas-krampung-ketabang-cab34134-a5bf-46f4-a81f-b3977d5fa4e1,2025-07-11 07:49:12
"Depot Anda, Walikota Mustajab Surabaya",4.9,0.68 km,$$$·,40rb-100rb,Aneka nasi,"Jl. Walikota Mustajab No. 74, Genteng, Surabaya",08:00-20:00,07:00-20:00,07:00-20:00,08:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,https://gofood.co.id/surabaya/restaurant/depot-anda-walikota-mustajab-surabaya-72f66618-7185-420d-9968-e621e2306bf9,2025-07-11 07:49:20
"Bubur Ayam Ajetiga, Rungkut Mejoyo Raya",4.9,7.14 km,$$··,16rb-40rb,"Aneka nasi, Ayam & bebek, Bakso & soto","Jl. Rungkut Mejoyo Raya, Blok AJ-3 (32), Rungkut, Surabaya",05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,04:30-12:30,https://gofood.co.id/surabaya/restaurant/bubur-ayam-ajetiga-rungkut-mejoyo-raya-55bb8447-201c-4b0d-ad5b-2f630818d7d8,2025-07-11 07:49:02
"McDonald's, Darmo Surabaya",4.8,3.02 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Jl. Darmo Raya No.43, Tegalsari, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-darmo-surabaya-68adcc25-eb59-4285-b6d3-dc44d39e1780,2025-07-11 07:46:28
Warung Jojo,5,7.1 km,$$··,16rb-40rb,"Ayam & bebek, Bakmie","Jl. Tenggilis Mejoyo Raya, Blok G No. 10, Tenggilis Mejoyo, Surabaya",07:30-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:30-17:00,07:30-17:00,07:30-17:00,https://gofood.co.id/surabaya/restaurant/warung-jojo-0e5a2706-7a3b-4370-a3fa-9dd0abc01910,2025-07-11 07:49:54
"Teck Kee, Embong Kaliasin",4.7,1.67 km,$$$·,40rb-100rb,"Chinese, Jajanan",Jalan Basuki Rachmad No. 79 Surabaya,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,https://gofood.co.id/surabaya/restaurant/teck-kee-embong-kaliasin-3c5af853-d84a-4c6d-9c26-5a84f7a8f744,2025-07-11 07:50:02
"Nasi Kuning Ambon Poka, Tenggilis Mejoyo",4.9,7.07 km,$$$·,40rb-100rb,"Aneka nasi, Jajanan, Cepat saji","Jl. Tenggilis Mejoyo Raya Blok AI No. 42 B, Rungkut, Surabaya",05:30-20:00,05:30-20:00,05:15-20:00,05:45-20:00,05:30-20:00,05:00-20:00,05:30-20:00,https://gofood.co.id/surabaya/restaurant/nasi-kuning-ambon-poka-tenggilis-mejoyo-ab428e54-97d3-46de-9f09-14d0e3b7b3c1,2025-07-11 07:49:25
"Kulineria Bu Melly, Wonocolo",4.5,6.32 km,$$··,16rb-40rb,"Aneka nasi, Ayam & bebek, Barat","Sidosermo Airdas, Blok F No. 105 (Sebelah Apotek Apolo), Wonocolo, Surabaya",06:45-17:00,06:45-17:00,06:45-17:00,06:45-17:00,06:45-17:00,06:45-17:00,06:45-17:00,https://gofood.co.id/surabaya/restaurant/kulineria-bu-melly-wonocolo-f225d8b8-d2ef-41dc-8e35-73e14b60fd98,2025-07-11 07:50:25
"Timeto Cake, Rungkut Mejoyo",5,7.19 km,$$$·,40rb-100rb,Roti,"Jl. Rungkut Mejoyo Selatan, Gang 2 No. 5, Rungkut, Surabaya",07:00-20:45,07:00-20:45,07:00-20:45,07:00-20:45,07:00-20:45,07:00-20:45,07:00-20:45,https://gofood.co.id/surabaya/restaurant/timeto-cake-rungkut-mejoyo-3f69a721-07b0-437f-86c1-575cd9f0aff2,2025-07-11 07:50:20
"The Harvest Cakes, Bengawan",5,3.92 km,$$$$,Diatas 100rb,Roti,"Jl. Bengawan No. 39, Tegalsari, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/the-harvest-cakes-bengawan-d798ccab-163a-4bb4-a0c0-ad914ed9b94d,2025-07-11 07:50:02
"Warung Tulungagung, Rungkut",5,8.06 km,$$··,16rb-40rb,"Aneka nasi, Jajanan, Ayam & bebek","Jl. Wonorejo Timur Blok B No. 66, Rungkut, Surabaya",05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,05:00-20:00,https://gofood.co.id/surabaya/restaurant/warung-tulungagung-rungkut-2da5cc56-d6a6-4ebc-853a-d78411bc9991,2025-07-11 07:50:22
"Risolive Kitchen, Rungkut",4,7.99 km,$$$·,40rb-100rb,Jajanan,"Jl. Rungkut Harapan Blok J No. 45, Rungkut, Surabaya",07:00-18:00,07:00-18:00,07:00-18:00,07:00-20:00,07:00-18:00,07:00-18:00,07:00-18:00,https://gofood.co.id/surabaya/restaurant/risolive-kitchen-rungkut-c423eef9-3918-416d-a6c4-1799d1d8d1ac,2025-07-11 07:50:59
A&W Wijaya Kusuma,4.9,0.43 km,$$$·,40rb-100rb,Cepat saji,"Jl. Wijaya Kusuma No. 61, Genteng, Surabaya",06:00-22:00,06:00-22:00,06:00-22:00,06:00-22:00,06:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/a-w-wijaya-kusuma-79f9a917-c620-417d-a7de-f4ddded9f161,2025-07-11 07:50:53
"Soto Madura Wawan, Rungkut",4.8,8.2 km,$$$·,40rb-100rb,Bakso & soto,"Jl. Dr. Ir H. Soekarno No. 553, Rungkut, Surabaya",07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,https://gofood.co.id/surabaya/restaurant/soto-madura-wawan-rungkut-24418cf8-9d7a-4817-a067-d8f0380c29be,2025-07-11 07:51:14
"Gudeg B. Djuminten, Rungkut",4.7,8.11 km,$$··,16rb-40rb,Aneka nasi,"Jl. Rungkut Asri 17 No. 26, Rungkut, Surabaya",07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,Tutup,https://gofood.co.id/surabaya/restaurant/gudeg-b-djuminten-rungkut-a5210aed-6ad7-4d9a-8bea-3f7c1f534c06,2025-07-11 07:51:31
"Thirty Three Brew, Opak",4.9,3.82 km,$$$·,40rb-100rb,Kopi,"Jl. Opak No. 45, Wonokromo, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/thirty-three-brew-opak-4ef6bccb-6a32-4240-af08-ec4756fdb1a2,2025-07-11 07:51:56
"D'BestO, Kampung Malang",5,2.33 km,$$··,16rb-40rb,"Jajanan, Minuman, Cepat saji, Ayam & bebek","Jl. Kampung Malang Tengah 1, Blok 1 C, Tegalsari, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-17:00,https://gofood.co.id/surabaya/restaurant/d-besto-kampung-malang-7ac4b62c-56a9-4340-bd62-663045b179f3,2025-07-11 07:51:57
"Kebab Container by Baba Rafi, MERR",4.8,8.28 km,$$··,16rb-40rb,"Jajanan, Cepat saji, Timur Tengah","Jl. Dr Ir H Soekarno No. 487, Rungkut, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kebab-container-by-baba-rafi-merr-5e47c97f-883f-45d4-8faa-1164febf0690,2025-07-11 07:51:41
"Laritta Bakery, Kutai",5,4.43 km,$$··,16rb-40rb,Roti,"Jl. Kutai No. 56, Wonokromo, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-kutai-21359f3a-b5bb-4f34-a7ea-cbddea44a991,2025-07-11 07:52:24
"Restoran Chiang Kong, Kusuma Bangsa",4.9,0.79 km,$$$·,40rb-100rb,"Chinese, Aneka nasi, Nasi Goreng","Jl. Kusuma Bangsa No. 63A, Genteng, Surabaya",07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,07:00-19:30,https://gofood.co.id/surabaya/restaurant/restoran-chiang-kong-kusuma-bangsa-bc23b841-6e98-4a6f-91f4-2b0a240ef9f1,2025-07-11 07:52:30
"Soto Ayam Prawito, Kedungsari",4.8,2.24 km,$···,Dibawah 16rb,Bakso & soto,"Jl. Kedungsari No. 29, Tegalsari, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/soto-ayam-prawito-kedungsari-9b42e37d-f8d0-4354-8210-26f5d199e57c,2025-07-11 07:52:51
Depot Soto Banjar Achmad Jais,4.8,1.1 km,$$$·,40rb-100rb,Bakso & soto,"Jl. Achmad Jais No. 6-6A, Genteng, Surabaya",06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,https://gofood.co.id/surabaya/restaurant/depot-soto-banjar-achmad-jais-28040607-ca86-4cbb-8d11-b59c7c4946cb,2025-07-11 07:53:12
"Lapis Kukus Pahlawan Surabaya (Oleh-oleh Khas Surabaya), Genteng",4.8,1.4 km,$$$·,40rb-100rb,"Jajanan, Roti","Jl. Genteng Besar No. 77, Genteng, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,https://gofood.co.id/surabaya/restaurant/lapis-kukus-pahlawan-surabaya-oleh-oleh-khas-surabaya-genteng-cfcf5810-fda5-4849-8938-011601cae2fd,2025-07-11 07:53:27
"KFC, Adityawarman Surabaya",4.9,4.7 km,$$$·,40rb-100rb,Cepat saji,"Jl. Adityawarman Pojok, Wonokromo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/kfc-adityawarman-surabaya-703ebf79-dc09-433b-bc0e-6cc67b9bed98,2025-07-11 07:53:02
"Almond Crispy Wisata Rasa, Genteng Besar",4.2,1.39 km,$$$·,40rb-100rb,Jajanan,"Jl. Genteng Besar No. 83A, Genteng, Surabaya",07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,https://gofood.co.id/surabaya/restaurant/almond-crispy-wisata-rasa-genteng-besar-326c1a78-c0ca-44f4-95d8-4aa076948bd8,2025-07-11 07:54:34
"Melly Roti & Kue, Adityawarman",4.6,4.62 km,$$··,16rb-40rb,Roti,"Jl. Aditywarman No. 78, Wonokromo, Surabaya",06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,06:30-20:00,https://gofood.co.id/surabaya/restaurant/melly-roti-kue-adityawarman-c40dad85-c61f-4873-a54e-04cbebac28a3,2025-07-11 07:54:33
"adylaviva.id, Medayu Utara 7A",4.1,8.91 km,$$··,16rb-40rb,"Cepat saji, Jajanan","Jl. Medayu Utara 7A No. 45, Rungkut, Surabaya",08:00-21:00,06:15-22:00,06:15-18:00,09:00-17:00 & 18:30-22:00,06:15-15:00 & 16:00-20:00,06:15-21:00,06:15-21:00,https://gofood.co.id/surabaya/restaurant/adylaviva-id-medayu-utara-7a-64e353b0-73f2-4490-963c-9402728a69a3,2025-07-11 07:54:45
"Hiewan Petemon, Kalianyar",4.9,1.06 km,$$··,16rb-40rb,"Chinese, Bakmie, Bakso & soto","Jl. Kalianyar No. 52, Genteng, Surabaya",07:00-16:15,06:30-16:15,07:00-16:15,07:00-16:15,07:00-16:15,07:00-16:15,Tutup,https://gofood.co.id/surabaya/restaurant/hiewan-petemon-kalianyar-0a85d31c-8133-4752-a65e-df4507760e60,2025-07-11 07:55:09
"McDonald's, Plasa Marina",4.9,6.51 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Plaza Marina, Jl. Margorejo Indah Raya No. 97-99, Wonocolo, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-plasa-marina-1cac6a29-4d6c-43a3-aed3-428f6f90696e,2025-07-11 07:51:14
"Roti In Tjwan Bo, Jemursari",4.8,7.08 km,$···,Dibawah 16rb,Roti,"Jl. Jemursari Raya No. 128, Wonocolo, Surabaya",06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,06:00-20:30,https://gofood.co.id/surabaya/restaurant/roti-in-tjwan-bo-jemursari-3e971984-e9f0-4f90-a6d2-4a09118914d5,2025-07-11 07:55:40
"KFC, Diponegoro Surabaya",4.8,3.45 km,$$$·,40rb-100rb,Cepat saji,"Jl. Diponegoro 217, Tegalsari, Central Surabaya",00:00-23:45,00:00-23:45,00:00-23:45,00:00-23:45,00:00-23:45,00:00-23:45,00:00-23:45,https://gofood.co.id/surabaya/restaurant/kfc-diponegoro-surabaya-68395a83-9cf7-42fd-9099-ff2e0dcb082b,2025-07-11 07:55:11
"McDonald's, Basuki Rahmat",4.8,1.4 km,$$$·,40rb-100rb,"Cepat saji, Sweets, Jajanan","Jl. Basuki Rahmat No 21-23, Genteng, Surabaya",00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/mcdonald-s-basuki-rahmat-cc89875b-fb34-4c9c-98c9-b9da35f0edf4,2025-07-11 07:51:04
Spiku Rumah Roti,5,8.5 km,$$$·,40rb-100rb,"Jajanan, Roti, Sweets","Jl. Rungkut Mapan Utara, Blok AA No. 15, Rungkut, Surabaya",06:00-19:30,06:00-19:30,06:00-19:30,06:00-19:30,06:00-19:30,06:00-18:30,06:00-18:30,https://gofood.co.id/surabaya/restaurant/spiku-rumah-roti-b12ca432-591a-4842-bf20-55a123e02e39,2025-07-11 07:56:40
"Alesha Lapis Kukus Surabaya, Rungkut Mapan",4.6,8.62 km,$$$·,40rb-100rb,Roti,"Jl. Rungkut Mapan Utara Blok F4-1, Gunung Anyar, Surabaya",07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,https://gofood.co.id/surabaya/restaurant/alesha-lapis-kukus-surabaya-rungkut-mapan-fc3f3d06-bbd5-4ec3-b9df-60e7f85c6a4b,2025-07-11 07:57:18
"Laritta Bakery, Rungkut",4.8,8.93 km,$···,Dibawah 16rb,Roti,"Jl. Rungkut Madya Raya, No. 163, Rungkut, Surabaya",06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,06:30-20:30,https://gofood.co.id/surabaya/restaurant/laritta-bakery-rungkut-f1965c66-8140-4667-8b8a-28cb46edfcc1,2025-07-11 07:57:32
A&W Puri Mas,4.9,9.06 km,$$$·,40rb-100rb,Cepat saji,"Puri Mas, Food Promenade, Blok A5 No. 1, 2, 3, Jl. I Gusti Ngurah Rai No. 95, Gunung Anyar, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-23:59,00:00-23:59,00:00-23:59,https://gofood.co.id/surabaya/restaurant/a-w-puri-mas-dffd923d-8730-4cc0-a575-f8a3062be17d,2025-07-11 07:58:20
"Bakwan & Mie Santun, Rungkut",4.8,8.96 km,$···,Dibawah 16rb,"Bakso & soto, Bakmie, Chinese","Jl. Rungkut Asri Timur 18 No. 14, Rungkut, Surabaya",07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,https://gofood.co.id/surabaya/restaurant/bakwan-mie-santun-rungkut-3472f197-79f2-4d18-bb53-f074a1142f7b,2025-07-11 07:57:25
"Mie Mapan, Rungkut Mapan Tengah",4.8,8.77 km,$$$·,40rb-100rb,"Bakmie, Aneka nasi, Ayam & bebek","Jl. Rungkut Mapan Tengah 1 Blok FB No. 11, Gunung Anyar, Surabaya",07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,https://gofood.co.id/surabaya/restaurant/mie-mapan-rungkut-mapan-tengah-0d734f67-f1fa-44b2-baad-863ef697a52b,2025-07-11 07:57:51
"NCR - Spesial Nasi Empal Udang, Gunung Anyar",4.9,8.85 km,$$··,16rb-40rb,Aneka nasi,"Jl. Rungkut Mapan Tengah 6, Blok CF No. 6, Gunung Anyar, Surabaya",06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,06:30-14:00,https://gofood.co.id/surabaya/restaurant/ncr-spesial-nasi-empal-udang-gunung-anyar-49658212-9be6-41fe-b136-693370e78b38,2025-07-11 07:59:10
