Nama Restoran,Judul Promo,Cara Menggunakan,Detail Promo,Waktu Scraping
"Kebab Turki Baba Rafi, Mulyosari","Diskon makanan 35%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 65rb,2025-07-04 21:35:44
"Kebab Turki Baba Rafi, Mulyosari","Diskon makanan 35%, maks. 41rb",Use with GoPay atau 7 lainnya,Min. pembelian 78rb,2025-07-04 21:35:44
"Kebab Turki Baba Rafi, Mulyosari","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 35rb,2025-07-04 21:35:44
"Kebab Turki Baba Rafi, Mulyosari","Diskon makanan 30%, maks. 19rb",Use with GoPay atau 7 lainnya,Min. pembelian 42rb,2025-07-04 21:35:44
"HokBen, Galaxy Mall","Diskon makanan 20%, maks. 60rb",Use with GoPay atau 7 lainnya,Min. pembelian 160rb,2025-07-04 21:36:48
"HokBen, Galaxy Mall","Diskon makanan 25%, maks. 50rb",Use with GoPay atau 7 lainnya,Min. pembelian 100rb,2025-07-04 21:36:48
"HokBen, Galaxy Mall","Diskon makanan 25%, maks. 45rb",Use with GoPay atau 7 lainnya,Min. pembelian 90rb,2025-07-04 21:36:48
"HokBen, Galaxy Mall","Diskon makanan 25%, maks. 43rb",Use with GoPay atau 7 lainnya,Min. pembelian 85rb,2025-07-04 21:36:48
"Anugrah Penyetan Sambel Uleg, Karang Menjangan","Diskon makanan 50%, maks. 72rb",Use with GoPay atau 6 lainnya,Min. pembelian 60rb,2025-07-04 21:37:23
"Anugrah Penyetan Sambel Uleg, Karang Menjangan","Diskon makanan 35%, maks. 35rb",Use with GoPay atau 6 lainnya,Min. pembelian 50rb,2025-07-04 21:37:23
"Bebek Hitam Bu Farida, Pacar Keling","Diskon makanan 45%, maks. 43rb",Use with GoPay atau 6 lainnya,Min. pembelian 42rb,2025-07-04 21:37:56
"Bebek Hitam Bu Farida, Pacar Keling","Diskon makanan 30%, maks. 21rb",Use with GoPay atau 6 lainnya,Min. pembelian 35rb,2025-07-04 21:37:56
"Ayam Goreng Bakar Gokar Kencana, Mulyorejo","Diskon makanan 50%, maks. 150rb",Use with GoPay atau 6 lainnya,Min. pembelian 126rb,2025-07-04 21:39:35
"Ayam Goreng Bakar Gokar Kencana, Mulyorejo","Diskon makanan 35%, maks. 74rb",Use with GoPay atau 6 lainnya,Min. pembelian 105rb,2025-07-04 21:39:35
"Penyetan Cok, Kaza Mall","Diskon makanan 35%, maks. 44rb",Use with GoPay atau 7 lainnya,Min. pembelian 70rb,2025-07-04 21:42:52
